,Date,Revenue
172,2017-06-22,8927.829999999996
173,2017-06-23,7083.469999999999
174,2017-06-24,3368.8700000000003
175,2017-06-25,2791.61
176,2017-06-26,8126.299999999997
177,2017-06-27,8740.08
178,2017-06-28,13929.69
179,2017-06-29,7734.469999999998
180,2017-06-30,7536.889999999998
181,2017-07-01,3997.1499999999996
182,2017-07-02,2955.62
183,2017-07-03,5343.909999999999
184,2017-07-04,3384.24
185,2017-07-05,14343.869999999995
186,2017-07-06,7904.109999999997
187,2017-07-07,9265.68
188,2017-07-08,3647.949999999999
189,2017-07-09,3029.34
190,2017-07-10,10221.21
191,2017-07-11,10569.27
192,2017-07-12,7624.1399999999985
193,2017-07-13,23246.429999999997
194,2017-07-14,9430.549999999997
195,2017-07-15,6264.05
196,2017-07-16,3941.73
197,2017-07-17,9210.740000000003
198,2017-07-18,37363.66999999999
199,2017-07-19,11433.659999999996
200,2017-07-20,10999.890000000003
201,2017-07-21,7156.22
202,2017-07-22,5647.759999999998
203,2017-07-23,6893.54
204,2017-07-24,9444.599999999997
205,2017-07-25,11074.82
206,2017-07-26,8453.050000000001
207,2017-07-27,8357.789999999999
208,2017-07-28,11141.390000000001
209,2017-07-29,1839.0400000000002
210,2017-07-30,6009.429999999999
211,2017-07-31,15309.299999999992
212,2017-08-01,13498.630000000003
213,2017-08-02,41620.07
214,2017-08-03,9261.61
215,2017-08-04,14291.74
216,2017-08-05,5220.83
217,2017-08-06,3790.759999999998
218,2017-08-07,10963.219999999998
219,2017-08-08,12926.789999999999
220,2017-08-09,11168.23
221,2017-08-10,10735.949999999999
222,2017-08-11,9359.369999999997
223,2017-08-12,5691.97
224,2017-08-13,2983.24
225,2017-08-14,14892.7
226,2017-08-15,7780.519999999998
227,2017-08-16,12268.809999999998
228,2017-08-17,8412.11
229,2017-08-18,8934.489999999996
230,2017-08-19,7980.45
231,2017-08-20,1875.38
232,2017-08-21,7574.59
233,2017-08-22,10959.639999999998
234,2017-08-23,22038.410000000007
235,2017-08-24,7431.959999999996
236,2017-08-25,9984.789999999995
237,2017-08-26,3737.0799999999995
238,2017-08-27,7635.529999999998
239,2017-08-28,8527.130000000001
240,2017-08-29,10407.99
241,2017-08-30,12719.159999999996
242,2017-08-31,9424.129999999996
243,2017-09-01,15355.099999999997
244,2017-09-02,3010.439999999999
245,2017-09-03,3734.2000000000007
246,2017-09-04,3828.6400000000003
247,2017-09-05,5040.619999999998
248,2017-09-06,9777.279999999997
249,2017-09-07,12362.08
250,2017-09-08,4140.12
251,2017-09-09,6400.2
252,2017-09-10,6185.949999999999
253,2017-09-11,9752.26
254,2017-09-12,10400.600000000002
255,2017-09-13,22219.739999999998
256,2017-09-14,5992.53
257,2017-09-15,11616.750000000002
258,2017-09-16,4721.559999999999
259,2017-09-17,3345.4999999999995
260,2017-09-18,7419.9400000000005
261,2017-09-19,6461.84
262,2017-09-20,8337.48
263,2017-09-21,5452.739999999998
264,2017-09-22,9040.239999999998
265,2017-09-23,8044.069999999998
266,2017-09-24,8193.63
267,2017-09-25,14016.470000000003
268,2017-09-26,10049.989999999998
269,2017-09-27,18483.27
270,2017-09-28,10461.619999999997
271,2017-09-29,7580.519999999998
272,2017-09-30,7423.510000000001
273,2017-10-01,7275.4400000000005
274,2017-10-02,7656.639999999999
275,2017-10-03,12601.430000000004
276,2017-10-04,14701.219999999998
277,2017-10-05,6704.129999999999
278,2017-10-06,8967.11
279,2017-10-07,6253.549999999998
280,2017-10-08,5329.799999999999
281,2017-10-09,11883.460000000001
282,2017-10-10,10256.089999999998
283,2017-10-11,10846.230000000003
284,2017-10-12,10185.999999999998
285,2017-10-13,9536.070000000002
286,2017-10-14,6217.37
287,2017-10-15,6224.33
288,2017-10-16,11038.630000000001
289,2017-10-17,13324.129999999996
290,2017-10-18,6570.289999999999
291,2017-10-19,9539.26
292,2017-10-20,9063.66
293,2017-10-21,7571.830000000001
294,2017-10-22,6683.33
295,2017-10-23,8948.920000000002
296,2017-10-24,12317.629999999997
297,2017-10-25,5656.54
298,2017-10-26,8515.9
299,2017-10-27,10449.08
300,2017-10-28,7576.389999999998
301,2017-10-29,5336.16
302,2017-10-30,12795.279999999997
303,2017-10-31,8918.159999999998
304,2017-11-01,12979.539999999999
305,2017-11-02,7328.259999999999
306,2017-11-03,11352.349999999999
307,2017-11-04,4725.12
308,2017-11-05,6081.55
309,2017-11-06,12859.1
310,2017-11-07,11141.679999999997
311,2017-11-08,13023.789999999997
312,2017-11-09,6969.749999999998
313,2017-11-10,11135.699999999997
314,2017-11-11,6009.22
315,2017-11-12,8238.229999999998
316,2017-11-13,11059.640000000001
317,2017-11-14,16168.859999999997
318,2017-11-15,9328.519999999999
319,2017-11-16,10567.009999999998
320,2017-11-17,8688.16
321,2017-11-18,7895.629999999999
322,2017-11-19,6792.729999999999
323,2017-11-20,13127.64
324,2017-11-21,15216.06
325,2017-11-22,19240.160000000003
326,2017-11-23,11115.13
327,2017-11-24,11850.099999999999
328,2017-11-25,9553.660000000002
329,2017-11-26,9756.499999999996
330,2017-11-27,28935.559999999998
331,2017-11-28,13429.13
332,2017-11-29,14495.869999999997
333,2017-11-30,7157.23
334,2017-12-01,6849.519999999999
335,2017-12-02,6362.540000000001
336,2017-12-03,7971.379999999997
337,2017-12-04,11561.21
338,2017-12-05,10328.189999999999
339,2017-12-06,20191.66
340,2017-12-07,11747.439999999995
341,2017-12-08,15538.1
342,2017-12-09,7359.320000000001
343,2017-12-10,8267.199999999997
344,2017-12-11,18395.54
345,2017-12-12,9057.41
346,2017-12-13,13240.119999999999
347,2017-12-14,15868.219999999998
348,2017-12-15,22422.81
349,2017-12-16,10777.209999999997
350,2017-12-17,7259.879999999997
351,2017-12-18,14227.199999999997
352,2017-12-19,13173.789999999999
353,2017-12-20,10672.419999999998
354,2017-12-21,10557.319999999994
355,2017-12-22,9577.549999999997
356,2017-12-23,6250.239999999999
357,2017-12-24,4538.13
358,2017-12-25,7457.119999999998
359,2017-12-26,5529.34
360,2017-12-27,8334.89
361,2017-12-28,6845.489999999999
362,2017-12-29,6974.159999999999
363,2017-12-30,5169.610000000001
364,2017-12-31,7221.17
