,Date,Offline Spend,Online Spend,Revenue,Total Spending
94,2017-04-05,2500,2342.68,54950.24,4842.68
95,2017-04-06,2500,2307.25,8750.9,4807.25
96,2017-04-07,2500,2719.46,17369.829999999998,5219.46
97,2017-04-08,2500,2200.69,3302.9500000000003,4700.6900000000005
98,2017-04-09,3000,1740.91,4636.65,4740.91
99,2017-04-10,3000,2143.39,10383.979999999996,5143.389999999999
100,2017-04-11,3000,804.85,5696.420000000001,3804.85
101,2017-04-12,3000,1631.25,8051.859999999996,4631.25
102,2017-04-13,3000,2872.23,12961.25,5872.23
103,2017-04-14,3000,1747.0,12160.839999999998,4747.0
104,2017-04-15,3000,1593.58,6759.15,4593.58
105,2017-04-16,4000,2168.04,4637.279999999999,6168.04
106,2017-04-17,4000,2526.49,11835.24,6526.49
107,2017-04-18,4000,1476.58,42729.509999999995,5476.58
108,2017-04-19,4000,1754.92,12529.47,5754.92
109,2017-04-20,4000,1330.34,7054.339999999998,5330.34
110,2017-04-21,4000,3078.84,17177.160000000003,7078.84
111,2017-04-22,4000,1608.26,4518.05,5608.26
112,2017-04-23,3500,3107.11,5479.489999999999,6607.110000000001
113,2017-04-24,3500,1650.62,6765.369999999999,5150.62
114,2017-04-25,3500,620.94,5643.9400000000005,4120.9400000000005
115,2017-04-26,3500,1363.31,11183.709999999995,4863.3099999999995
116,2017-04-27,3500,2056.17,19546.029999999995,5556.17
117,2017-04-28,3500,2019.73,5672.759999999998,5519.73
118,2017-04-29,3500,3549.13,3567.67,7049.13
119,2017-04-30,3000,1799.66,6154.249999999999,4799.66
120,2017-05-01,3000,1108.88,11593.509999999998,4108.88
121,2017-05-02,3000,732.47,6580.67,3732.4700000000003
122,2017-05-03,3000,2406.31,6881.289999999999,5406.3099999999995
123,2017-05-04,3000,2407.55,6674.96,5407.55
124,2017-05-05,3000,1177.76,11353.540000000003,4177.76
125,2017-05-06,3000,2100.89,3833.1600000000008,5100.889999999999
126,2017-05-07,3000,2271.0,4901.630000000001,5271.0
127,2017-05-08,3000,869.25,9143.929999999998,3869.25
128,2017-05-09,3000,1771.32,10868.400000000003,4771.32
129,2017-05-10,3000,1942.13,8088.929999999999,4942.13
130,2017-05-11,3000,1801.66,6959.229999999998,4801.66
131,2017-05-12,3000,2113.63,8715.38,5113.63
132,2017-05-13,3000,2697.6,4434.129999999999,5697.6
133,2017-05-14,2500,2151.7,3424.6000000000004,4651.7
